sample,_study,EIF4A1,EIF4E,EIF4G1,EIF4EBP1,RPS6KB1,MYC,_sample_type,primary disease or tissue,OS,OS.time
GTEX-O5YT-0008-SM-4E3IQ,GTEX,15.6493,11.6656,14.9143,11.9845,10.3607,13.1165,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-147F4-0006-SM-5O99T,GTEX,15.6437,8.6553,13.1455,10.6188,8.4995,10.1691,Normal Tissue,Whole Blood,,
GTEX-11OF3-0006-SM-5O9CM,GTEX,15.6251,9.7488,12.917,10.6278,9.3047,10.6754,Normal Tissue,Whole Blood,,
GTEX-11EMC-0006-SM-5O9DN,GTEX,15.618,8.9249,12.8091,10.4697,8.1644,9.9935,Normal Tissue,Whole Blood,,
GTEX-111CU-0326-SM-5GZXO,GTEX,15.6158,11.709,14.5497,9.2429,10.4778,13.1703,Normal Tissue,Lung,,
GTEX-WHSE-0126-SM-3NMBT,GTEX,15.608,11.4763,14.8187,10.5774,10.8342,14.3229,Normal Tissue,Skin - Not Sun Exposed (Suprapubic),,
GTEX-13O1R-0526-SM-5K7XU,GTEX,15.5986,11.4544,15.9978,9.7922,11.5303,12.9816,Normal Tissue,Muscle - Skeletal,,
GTEX-OHPJ-0008-SM-4E3JG,GTEX,15.5951,11.3831,14.4851,11.7465,10.2497,13.2038,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-RVPV-0008-SM-47JYW,GTEX,15.5931,11.3315,14.8476,11.6827,10.4516,12.3887,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-14ICL-0926-SM-5S2TU,GTEX,15.5885,11.3462,14.2612,8.5568,11.0233,15.9532,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-PX3G-0008-SM-48U2L,GTEX,15.573,11.7282,14.6637,11.655,10.0685,12.3987,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-117XS-0005-SM-5PNU6,GTEX,15.5641,8.976,12.7896,10.8381,8.3571,9.5269,Normal Tissue,Whole Blood,,
GTEX-1399S-1426-SM-5PNYQ,GTEX,15.5601,10.8273,13.8991,13.0045,9.7846,14.1289,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-YEC4-0008-SM-4W1YR,GTEX,15.5586,11.7292,13.3621,12.3286,10.3858,13.6356,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-11EQ8-0006-SM-5P9HJ,GTEX,15.5565,9.4933,12.6583,11.9682,9.042,8.794,Normal Tissue,Whole Blood,,
GTEX-1192W-0005-SM-5NQBQ,GTEX,15.5524,9.4909,12.8863,10.9502,9.1149,9.7568,Normal Tissue,Whole Blood,,
GTEX-13CF3-1126-SM-5LZXB,GTEX,15.5523,10.9758,14.2661,12.0327,10.4428,14.8073,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-1269C-0926-SM-5FQSR,GTEX,15.5458,11.4766,14.0423,9.9305,10.7317,12.4452,Normal Tissue,Lung,,
GTEX-12584-1426-SM-5EGJ9,GTEX,15.5446,11.2444,14.1094,9.6529,11.2607,13.3055,Normal Tissue,Lung,,
GTEX-Q2AI-0008-SM-48U2H,GTEX,15.5392,11.6036,15.0099,12.2921,10.1362,14.6734,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-1399U-0008-SM-5S2VE,GTEX,15.538,11.719,14.5499,11.5994,10.295,12.2233,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-WVLH-0008-SM-4MVPD,GTEX,15.5372,11.7729,15.1581,11.6653,9.9558,13.0244,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-11TT1-2326-SM-5GU6N,GTEX,15.5331,11.5883,15.6674,10.6728,11.7889,10.5059,Normal Tissue,Muscle - Skeletal,,
GTEX-11P82-1326-SM-5HL62,GTEX,15.5316,10.7609,14.6539,11.9993,10.2528,12.6241,Normal Tissue,Breast - Mammary Tissue,,
GTEX-11DXY-1426-SM-5N9CN,GTEX,15.5254,11.7701,14.3834,11.1804,10.6476,11.9243,Normal Tissue,Esophagus - Mucosa,,
GTEX-14C38-2626-SM-5RQI4,GTEX,15.525,11.9695,13.2001,9.0544,11.1805,12.348,Normal Tissue,Colon - Transverse,,
GTEX-ZYFD-3126-SM-5E44O,GTEX,15.5213,11.5303,14.7085,8.2359,10.9915,11.6522,Normal Tissue,Pituitary,,
GTEX-YF7O-0008-SM-4W1ZS,GTEX,15.5125,12.2207,13.7198,12.558,10.23,13.1496,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-RNOR-0726-SM-2TF5I,GTEX,15.5119,11.7019,14.1898,8.5224,11.7506,13.6294,Normal Tissue,Lung,,
GTEX-ZQUD-0526-SM-57WG4,GTEX,15.5027,10.782,14.712,12.3215,11.1685,15.2135,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-14BIM-0006-SM-5O9AA,GTEX,15.5027,10.0584,12.416,11.1035,9.2989,8.3246,Normal Tissue,Whole Blood,,
GTEX-11ILO-0726-SM-5HL5I,GTEX,15.5012,10.7222,14.2077,10.3059,9.9781,11.4771,Normal Tissue,Lung,,
GTEX-12WSK-1026-SM-5CVNR,GTEX,15.4981,11.094,13.9199,10.6184,10.5584,14.6787,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-ZPU1-0006-SM-4WWAT,GTEX,15.4944,8.708,13.2905,10.8817,7.9356,11.4514,Normal Tissue,Whole Blood,,
GTEX-T5JW-1326-SM-4DM5G,GTEX,15.489,11.6571,14.3073,11.3143,11.1428,13.3961,Normal Tissue,Esophagus - Mucosa,,
GTEX-131XF-0006-SM-5P9HK,GTEX,15.4877,7.3387,12.3406,11.6966,7.2882,10.9555,Normal Tissue,Whole Blood,,
GTEX-X8HC-0008-SM-46MU6,GTEX,15.4825,11.7495,14.7756,11.1784,10.4755,14.0144,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-WK11-0006-SM-3NB3J,GTEX,15.4806,10.4287,12.9228,10.3278,9.9802,10.4507,Normal Tissue,Whole Blood,,
GTEX-PSDG-0008-SM-48TE5,GTEX,15.477,11.5588,14.6778,11.7449,10.1209,12.5663,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-WHSE-0006-SM-3NMBW,GTEX,15.4702,9.3288,12.7825,11.3282,9.1349,10.5787,Normal Tissue,Whole Blood,,
GTEX-XGQ4-0008-SM-4AT3Z,GTEX,15.4691,11.7174,14.815,10.7369,10.1771,14.2015,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-V1D1-0008-SM-4JBIJ,GTEX,15.4688,11.7905,14.4543,11.9286,10.1764,12.8622,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-11DZ1-2426-SM-5GZZX,GTEX,15.464,11.536,14.3641,10.0437,10.7122,14.7632,Normal Tissue,Skin - Not Sun Exposed (Suprapubic),,
GTEX-11WQK-1026-SM-5EQLX,GTEX,15.4619,11.6068,14.6688,10.6319,10.8193,14.1207,Normal Tissue,Skin - Not Sun Exposed (Suprapubic),,
GTEX-O5YT-0826-SM-3TW8N,GTEX,15.4613,11.278,14.6746,12.3315,10.199,12.8639,Normal Tissue,Liver,,
GTEX-RWSA-0008-SM-47JYX,GTEX,15.4602,11.5449,14.6525,11.6429,10.1931,12.5976,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-NL3G-0008-SM-4E3JX,GTEX,15.4577,11.1702,14.2796,11.6707,10.5143,13.0822,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-111YS-1326-SM-5EGGK,GTEX,15.4561,11.1788,14.5414,11.3583,10.7009,14.53,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-S4UY-0008-SM-3NM8H,GTEX,15.4546,11.7022,14.8247,12.4748,10.4693,14.6723,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-11DYG-0006-SM-5NQB2,GTEX,15.4454,8.8612,13.2774,9.8942,8.9958,10.2545,Normal Tissue,Whole Blood,,
GTEX-ZF2S-0008-SM-4E3IK,GTEX,15.4416,10.6846,13.9932,11.2102,10.2321,12.7269,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-NL4W-0008-SM-4E3I2,GTEX,15.4403,11.3804,14.485,11.8475,10.1893,13.2023,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-13N1W-0626-SM-5MR4U,GTEX,15.433,11.0923,14.0022,10.23,10.9279,13.5207,Normal Tissue,Breast - Mammary Tissue,,
GTEX-11O72-0006-SM-5O9DB,GTEX,15.4254,9.445,12.5479,10.6352,8.7057,8.6609,Normal Tissue,Whole Blood,,
GTEX-WY7C-0006-SM-3NB3L,GTEX,15.4241,9.734,12.0731,11.5431,9.1729,10.5419,Normal Tissue,Whole Blood,,
GTEX-12WSL-2426-SM-5GCN7,GTEX,15.4181,11.1283,14.1224,10.43,10.4498,13.9682,Normal Tissue,Adipose - Subcutaneous,,
GTEX-RUSQ-0826-SM-47JWW,GTEX,15.4155,11.5777,14.6789,11.7406,10.4275,13.4538,Normal Tissue,Esophagus - Mucosa,,
GTEX-11PRG-0005-SM-5NQ6X,GTEX,15.4106,8.6904,13.1035,10.8994,7.9273,9.5556,Normal Tissue,Whole Blood,,
GTEX-WCDI-0008-SM-47JYE,GTEX,15.4085,11.4934,15.0406,11.0786,9.9176,12.6015,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-11TT1-1726-SM-5EQLJ,GTEX,15.4071,11.4519,14.8996,11.0843,10.2174,11.4192,Normal Tissue,Liver,,
GTEX-ZQUD-0008-SM-4YCCU,GTEX,15.4066,11.2642,14.5974,11.3436,10.5525,12.4111,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-XQ3S-1126-SM-4BOPK,GTEX,15.4035,11.5119,14.5981,12.1666,11.0828,11.9942,Normal Tissue,Esophagus - Mucosa,,
GTEX-139TS-0005-SM-5NQC1,GTEX,15.4001,10.6334,12.7945,10.3809,9.379,9.6028,Normal Tissue,Whole Blood,,
GTEX-11TT1-1926-SM-5PNYN,GTEX,15.4,11.6948,14.9771,12.6273,10.0088,13.9843,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-S4P3-0426-SM-4AD56,GTEX,15.3941,11.8477,14.8972,11.877,11.5589,13.4617,Normal Tissue,Esophagus - Mucosa,,
GTEX-R55F-0008-SM-48FE6,GTEX,15.3907,11.3491,14.5153,11.4248,9.8951,13.4874,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-XOTO-2126-SM-4B64U,GTEX,15.3831,11.2801,14.3363,11.3566,11.0789,13.474,Normal Tissue,Esophagus - Mucosa,,
GTEX-P4PP-0008-SM-48TDV,GTEX,15.3763,10.8486,14.3561,11.7065,10.2305,12.7923,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-11WQK-2426-SM-5GU5C,GTEX,15.3762,11.2973,13.9374,10.5907,11.3408,12.9851,Normal Tissue,Breast - Mammary Tissue,,
GTEX-POYW-0008-SM-48TE4,GTEX,15.3755,11.4221,14.3866,11.7579,9.9961,12.9937,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-UPIC-0002-SM-3NMDC,GTEX,15.3613,11.6604,13.1529,10.148,10.7249,13.3942,Cell Line,Cells - Ebv-Transformed Lymphocytes,,
GTEX-132QS-0826-SM-5K7WV,GTEX,15.3594,10.7396,14.0754,11.3805,10.0718,14.2769,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-144GO-0226-SM-5LUB1,GTEX,15.3584,10.9571,13.9914,8.7827,10.9859,13.1195,Normal Tissue,Lung,,
GTEX-13VXU-0006-SM-5N9FF,GTEX,15.3583,9.6223,12.8568,9.9314,9.5847,10.7803,Normal Tissue,Whole Blood,,
GTEX-12ZZX-1326-SM-5DUWI,GTEX,15.3573,12.0988,14.1621,10.6669,10.7869,12.1877,Normal Tissue,Esophagus - Mucosa,,
GTEX-ZVP2-0008-SM-51MSL,GTEX,15.3557,11.1738,14.402,11.2768,10.5026,12.8787,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-12WSI-0005-SM-5O99K,GTEX,15.3475,10.2392,12.6588,9.6978,9.7216,11.0845,Normal Tissue,Whole Blood,,
GTEX-139UC-0005-SM-5PNU7,GTEX,15.3427,9.1985,12.4198,11.2416,8.7433,11.0891,Normal Tissue,Whole Blood,,
GTEX-P4PQ-1626-SM-2HMKK,GTEX,15.3389,10.5644,15.551,12.077,11.0217,11.9462,Normal Tissue,Muscle - Skeletal,,
GTEX-WHSE-1026-SM-57WAX,GTEX,15.3376,11.3293,13.9109,9.204,11.0309,13.1053,Normal Tissue,Nerve - Tibial,,
GTEX-12KS4-1526-SM-5EQ6E,GTEX,15.3367,11.3468,13.7247,9.9535,10.6579,13.8239,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-11TUW-1726-SM-5BC5C,GTEX,15.3352,11.0632,14.2013,10.5963,10.4956,11.0851,Normal Tissue,Liver,,
GTEX-11OF3-1126-SM-5986C,GTEX,15.3327,11.8704,13.9268,9.5027,11.6103,12.2357,Normal Tissue,Lung,,
GTEX-13FH7-1926-SM-5J2OL,GTEX,15.3323,10.8554,14.2185,12.6079,10.3739,14.0583,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-1339X-2426-SM-5KLYU,GTEX,15.3293,10.9165,15.7965,10.7616,11.3485,11.5576,Normal Tissue,Muscle - Skeletal,,
GTEX-X4XY-0226-SM-4E3IZ,GTEX,15.3289,11.2186,14.1926,10.7844,10.2523,13.4497,Normal Tissue,Skin - Sun Exposed (Lower Leg),,
GTEX-ZYFD-2226-SM-5E43P,GTEX,15.3288,11.1559,14.2265,8.4491,11.5358,12.1905,Normal Tissue,Colon - Sigmoid,,
GTEX-1339X-1026-SM-5IFH5,GTEX,15.3255,10.5352,14.5941,12.3402,10.8926,12.8699,Normal Tissue,Pancreas,,
GTEX-14E6C-0226-SM-5S2N3,GTEX,15.3232,11.2172,13.5571,10.2366,10.9797,13.8695,Normal Tissue,Adipose - Subcutaneous,,
GTEX-ZLWG-0726-SM-5S2NG,GTEX,15.3228,11.0245,14.1492,12.1339,10.3454,14.3736,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-13FLV-1126-SM-5J2NO,GTEX,15.3225,11.3425,14.2594,10.9378,10.9307,13.3307,Normal Tissue,Esophagus - Mucosa,,
GTEX-ZDXO-0008-SM-4E3HR,GTEX,15.3211,10.5991,14.0172,11.6231,10.4098,13.0712,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-139T4-0008-SM-5S2WF,GTEX,15.3195,11.1246,14.4493,11.0799,10.3668,13.2863,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-PVOW-1626-SM-48TC9,GTEX,15.3172,11.2762,14.2286,11.8,10.5849,12.4994,Normal Tissue,Esophagus - Mucosa,,
GTEX-1211K-1226-SM-5EQ4N,GTEX,15.3095,10.7233,14.5219,11.5044,10.4443,14.7178,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-UJMC-0008-SM-4IHKK,GTEX,15.3083,11.3851,14.9144,11.656,10.1599,12.099,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-T5JW-1726-SM-3GADN,GTEX,15.3057,11.2599,14.4795,11.3472,10.8006,13.2012,Normal Tissue,Adipose - Subcutaneous,,
GTEX-11I78-0008-SM-5Q5DI,GTEX,15.3046,10.4998,14.115,11.2015,10.5536,12.7599,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-ZV7C-0008-SM-57WCL,GTEX,15.3042,11.0179,14.4809,11.4626,10.2854,12.6812,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-N7MS-0008-SM-4E3JI,GTEX,15.3029,11.2291,14.5332,11.3487,10.28,12.0056,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-WYJK-1426-SM-3NM8V,GTEX,15.2997,11.0534,14.3314,11.4398,10.9407,14.9775,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-12WSC-0005-SM-5MR3H,GTEX,15.2942,10.4855,12.8345,10.5509,10.0963,10.3204,Normal Tissue,Whole Blood,,
GTEX-YECK-0008-SM-4W1ZG,GTEX,15.2937,11.7473,13.4005,12.4559,10.1888,12.7793,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-YF7O-0004-SM-4W1ZT,GTEX,15.2928,12.3828,13.2326,10.4943,10.6976,12.6466,Cell Line,Cells - Ebv-Transformed Lymphocytes,,
GTEX-11P82-1226-SM-5HL5P,GTEX,15.2881,11.1303,13.8424,9.6627,10.5729,14.4835,Normal Tissue,Colon - Sigmoid,,
GTEX-12WSH-0126-SM-5GCO3,GTEX,15.2861,11.2957,13.8942,9.133,10.7632,11.3206,Normal Tissue,Lung,,
GTEX-PVOW-0006-SM-3NMB8,GTEX,15.2839,8.6699,13.3431,10.4389,8.9942,10.1237,Normal Tissue,Whole Blood,,
GTEX-117YX-0726-SM-5GIET,GTEX,15.2825,10.9821,14.041,10.9841,10.2054,14.336,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-11NV4-1126-SM-5HL6J,GTEX,15.2807,11.1554,13.7149,9.3186,10.9524,12.5935,Normal Tissue,Lung,,
GTEX-ZPCL-0008-SM-4WWAU,GTEX,15.2796,11.2115,14.3436,11.2989,10.4642,13.0888,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-OIZG-0008-SM-4E3J2,GTEX,15.2771,10.8958,14.541,11.0885,10.0273,11.6678,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-13CIG-0006-SM-5P9HF,GTEX,15.2771,10.3161,12.9545,11.8127,9.9401,8.8624,Normal Tissue,Whole Blood,,
GTEX-ZLFU-2126-SM-4WWEV,GTEX,15.2741,10.5631,13.9941,12.1342,10.7103,13.7549,Normal Tissue,Breast - Mammary Tissue,,
GTEX-X8HC-0226-SM-4E3K1,GTEX,15.274,10.7323,13.7832,10.5213,10.6038,12.0205,Normal Tissue,Adipose - Subcutaneous,,
GTEX-YB5K-0426-SM-5LUA4,GTEX,15.2731,11.2615,13.8868,10.9767,10.0387,13.0979,Normal Tissue,Artery - Coronary,,
GTEX-12BJ1-0826-SM-5EQ5P,GTEX,15.2703,10.9734,13.9496,10.9751,10.4929,13.8161,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-11GSP-1826-SM-5N9DQ,GTEX,15.2699,11.3974,14.3561,11.2743,10.413,13.0465,Normal Tissue,Esophagus - Mucosa,,
GTEX-U8XE-0826-SM-4E3J1,GTEX,15.2686,10.9433,14.0744,10.9937,10.4046,11.7175,Normal Tissue,Breast - Mammary Tissue,,
GTEX-ZZ64-0626-SM-5GZWR,GTEX,15.2667,10.5791,14.3342,11.9977,10.6661,15.6183,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-ZVT2-1526-SM-51MQZ,GTEX,15.2666,10.7116,13.913,9.8183,10.5006,15.1808,Normal Tissue,Esophagus - Gastroesophageal Junction,,
GTEX-1339X-0726-SM-5L3FF,GTEX,15.2665,11.168,14.4366,12.0909,10.243,13.8889,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-ZVZQ-0008-SM-51MSK,GTEX,15.266,11.3996,14.5282,11.284,10.4487,11.796,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-11I78-0226-SM-5HL6R,GTEX,15.2653,11.0206,14.5703,12.0226,10.5179,14.0611,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-PWOO-0626-SM-48TZH,GTEX,15.2644,10.1196,14.0341,12.4731,10.5324,11.7971,Normal Tissue,Pancreas,,
GTEX-13O3O-0826-SM-5K7WE,GTEX,15.2602,11.4152,13.7871,10.1505,10.6015,13.2762,Normal Tissue,Breast - Mammary Tissue,,
GTEX-Y8DK-0005-SM-4RGNR,GTEX,15.2595,8.8258,13.1027,10.3423,8.6388,10.2358,Normal Tissue,Whole Blood,,
GTEX-ZTX8-0226-SM-5E44D,GTEX,15.258,11.8561,14.4649,11.7285,10.9087,12.7285,Normal Tissue,Esophagus - Mucosa,,
GTEX-U8XE-0226-SM-4E3J3,GTEX,15.2577,11.0546,14.2909,9.9905,10.4807,13.8741,Normal Tissue,Skin - Not Sun Exposed (Suprapubic),,
GTEX-14A5H-0006-SM-5O9AI,GTEX,15.2564,10.1715,13.2397,10.4204,9.4805,11.025,Normal Tissue,Whole Blood,,
GTEX-14753-2426-SM-5LU8U,GTEX,15.2558,11.3186,13.246,9.8487,11.2161,13.9855,Normal Tissue,Breast - Mammary Tissue,,
GTEX-Q2AH-0008-SM-48U2J,GTEX,15.2551,10.6267,14.0865,11.7696,10.019,12.7937,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-X4EP-0726-SM-3P5YJ,GTEX,15.2538,10.8915,14.0959,9.1273,10.7787,12.3239,Normal Tissue,Nerve - Tibial,,
GTEX-T2YK-0008-SM-4DM6M,GTEX,15.2527,10.9853,14.2072,11.7523,10.1643,12.8326,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-WWYW-0005-SM-3NB3K,GTEX,15.2517,9.5462,12.9685,10.6753,9.3593,10.6961,Normal Tissue,Whole Blood,,
GTEX-UPJH-0826-SM-4WKFD,GTEX,15.2508,10.9972,13.9294,8.15,10.7387,11.9989,Normal Tissue,Lung,,
GTEX-ZVZQ-0006-SM-51MR8,GTEX,15.2492,9.8249,12.993,10.1532,9.027,10.2379,Normal Tissue,Whole Blood,,
GTEX-ZY6K-0626-SM-59HJL,GTEX,15.2428,11.9585,14.822,11.0184,10.9496,13.2191,Normal Tissue,Esophagus - Mucosa,,
GTEX-SE5C-0426-SM-4BRUI,GTEX,15.2414,11.4809,14.5102,10.0139,10.4373,14.1084,Normal Tissue,Artery - Coronary,,
